avg_red,avg_green,avg_blue,std_red,std_green,std_blue,green_ratio,disease_ratio,brown_ratio,yellow_ratio,texture_contrast,texture_energy,brightness,saturation,label,treatment
72.1886,132.8643,61.203,32.5722,38.5581,20.5014,0.4273,0.1183,0.0566,0.015,0.0278,0.3846,106.793,0.5241,Healthy,No treatment needed. Continue regular maintenance and monitoring.
100.6209,158.4227,60.32,26.2329,37.2999,22.2891,0.7111,0.0841,0.0427,0.0337,0.0133,0.3411,107.0041,0.4806,Healthy,No treatment needed. Continue regular maintenance and monitoring.
138.5101,109.7095,37.5907,33.9528,41.2141,24.9087,0.2233,0.4799,0.1393,0.3794,0.0518,0.209,116.6324,0.6094,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
93.6139,85.7927,68.2281,40.7137,38.2376,21.1583,0.2983,0.38,0.2113,0.0702,0.0637,0.2618,92.489,0.5128,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
99.8493,128.1405,59.5718,30.2901,39.2422,16.0124,0.5015,0.0863,0.074,0.0202,0.0106,0.4048,88.6464,0.4486,Healthy,No treatment needed. Continue regular maintenance and monitoring.
91.5226,111.129,34.6895,61.2491,59.1633,24.9225,0.2863,0.2248,0.0712,0.1122,0.0668,0.2872,91.5043,0.4311,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
87.9606,101.5706,71.3268,32.2477,48.2928,37.9403,0.3709,0.1753,0.0911,0.1233,0.0385,0.3056,82.5941,0.3479,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
92.4899,142.2166,32.8561,49.0188,56.2059,29.5337,0.2757,0.2265,0.0894,0.2015,0.0597,0.3443,107.8094,0.4133,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
170.6783,160.0492,141.4473,27.6492,22.8153,22.9277,0.2089,0.3119,0.0376,0.1329,0.0434,0.4199,146.82,0.1849,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
127.7629,78.3613,43.4672,41.3664,38.4922,24.0961,0.2417,0.4098,0.3361,0.1174,0.0498,0.2541,84.3218,0.5109,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
110.4569,86.393,51.6812,40.0383,39.8539,28.6909,0.2039,0.2999,0.2255,0.0647,0.047,0.2263,94.8341,0.5051,Cercospora Leaf Spot,Apply Mancozeb or Chlorothalonil. Rotate crops. Remove infected debris after harvest.
106.7354,69.7948,40.5427,55.303,49.0819,29.8716,0.2138,0.2981,0.2414,0.0428,0.0453,0.2501,80.4395,0.444,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
105.8614,117.8205,61.1435,36.2579,46.3067,27.8542,0.3266,0.2436,0.0879,0.1143,0.043,0.2982,84.9668,0.3432,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
163.1067,142.2104,147.1383,22.5472,23.7015,31.1887,0.1841,0.2512,0.045,0.088,0.03,0.3512,150.3747,0.1955,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
105.1697,73.7728,41.5933,57.3875,36.4527,32.6716,0.1761,0.3298,0.2947,0.008,0.046,0.2435,73.4812,0.5598,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
73.1756,121.4536,62.7462,44.17,42.1456,20.6678,0.3954,0.184,0.1072,0.2302,0.0927,0.2938,90.1451,0.4287,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
111.2137,103.9159,62.2328,48.7051,43.6006,25.7707,0.2597,0.3628,0.1895,0.1091,0.0631,0.2833,83.848,0.4343,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
117.7452,96.0796,46.6594,37.9666,40.3218,25.7978,0.299,0.2669,0.2291,0.1191,0.067,0.2635,92.0576,0.438,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
75.2109,79.3658,53.5022,44.4501,40.002,19.3872,0.1602,0.3023,0.3121,0.0165,0.0591,0.2835,75.9943,0.3731,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
101.6669,81.3518,57.5088,57.9745,49.5791,35.213,0.1821,0.3,0.2722,0.0508,0.0836,0.2866,84.8462,0.4141,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
81.8369,126.7599,57.8329,42.6407,41.5445,29.8765,0.321,0.0965,0.1316,0.1753,0.05,0.3376,94.7874,0.4808,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
136.0199,146.5362,145.9492,27.5776,22.286,28.4725,0.1561,0.2555,0.0839,0.0692,0.038,0.3809,146.5237,0.2127,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
144.5239,170.0448,130.8218,17.8161,25.9515,28.727,0.1356,0.1659,0.0598,0.139,0.0347,0.4228,159.7885,0.1789,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
150.5897,106.9979,57.3419,41.2174,32.9792,22.0072,0.2259,0.2797,0.2584,0.3312,0.0521,0.2746,106.3847,0.5416,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
